id,cx,cy,frames,detections,top_class,avg_score
0,976.5,5.0,2,2,unknown,0.0
1,203.8,13.4,5,5,unknown,0.0
2,255.4,94.2,4,5,unknown,0.0
3,295.3333333333333,9.0,3,3,unknown,0.0
4,320.5,117.0,1,2,unknown,0.0
5,342.0,11.0,2,2,unknown,0.0
6,357.5,54.0,2,2,unknown,0.0
7,382.0,43.0,2,2,unknown,0.0
8,413.8,102.8,5,5,unknown,0.0
9,415.0,152.0,1,2,unknown,0.0
10,438.5,161.5,1,2,unknown,0.0
11,442.75,107.75,4,4,unknown,0.0
12,447.0,33.0,2,2,unknown,0.0
13,549.0,621.5,1,2,unknown,0.0
14,559.0,174.0,1,2,unknown,0.0
15,556.5,48.5,2,2,unknown,0.0
16,570.0,16.0,2,2,unknown,0.0
17,591.0,22.0,3,3,unknown,0.0
18,589.5,48.166666666666664,6,6,unknown,0.0
19,593.5,638.0,2,2,unknown,0.0
20,610.6666666666666,94.66666666666667,3,3,unknown,0.0
21,632.6666666666666,116.66666666666667,3,3,unknown,0.0
22,633.5,609.0,2,2,unknown,0.0
23,638.1428571428571,21.0,6,7,unknown,0.0
24,666.0,35.666666666666664,3,3,unknown,0.0
25,680.0,523.6666666666666,2,3,unknown,0.0
26,674.0,606.3333333333334,2,3,unknown,0.0
27,671.3333333333334,150.0,3,3,unknown,0.0
28,694.6666666666666,553.6666666666666,3,3,unknown,0.0
29,702.25,506.5,3,4,unknown,0.0
30,716.0,226.5,1,2,unknown,0.0
31,720.3333333333334,170.66666666666666,3,3,unknown,0.0
32,756.2857142857143,104.71428571428571,6,7,unknown,0.0
33,730.3333333333334,193.0,3,3,unknown,0.0
34,745.5,210.5,2,2,unknown,0.0
35,773.25,164.0,2,4,unknown,0.0
36,753.75,466.5,4,4,unknown,0.0
37,756.6666666666666,579.3333333333334,3,3,unknown,0.0
38,780.0,146.0,2,2,unknown,0.0
39,793.3333333333334,586.3333333333334,3,3,unknown,0.0
40,830.75,183.75,4,4,unknown,0.0
41,838.3333333333334,211.33333333333334,2,3,unknown,0.0
42,842.8333333333334,608.6666666666666,5,6,unknown,0.0
43,831.8,148.8,5,5,unknown,0.0
44,842.0,498.25,4,4,unknown,0.0
45,858.0,237.0,2,2,unknown,0.0
46,864.5,577.0,2,2,unknown,0.0
47,882.6666666666666,252.33333333333334,3,3,unknown,0.0
48,918.3333333333334,91.0,3,3,unknown,0.0
49,907.0,350.0,3,3,unknown,0.0
50,912.3333333333334,175.33333333333334,3,3,unknown,0.0
51,923.0,215.5,2,2,unknown,0.0
